Date,Open,High,Low,Close,Adj Close,Volume
2023-01-05,1041.800049,1049.800049,1033.099976,1044.099976,1034.737061,2294943
2023-01-06,1044.000000,1047.900024,1025.250000,1032.800049,1023.538513,1887689
2023-01-09,1044.949951,1071.000000,1040.050049,1067.449951,1057.877686,4562242
2023-01-10,1061.000000,1072.599976,1056.300049,1063.849976,1054.310059,2297082
2023-01-11,1069.000000,1079.599976,1050.550049,1054.800049,1045.341187,3594167
2023-01-12,1061.000000,1074.500000,1061.000000,1071.650024,1062.040161,4748542
2023-01-13,1043.900024,1084.000000,1041.000000,1077.800049,1068.135010,8253765
2023-01-16,1087.000000,1100.449951,1078.550049,1093.699951,1083.892334,4508538
2023-01-17,1097.900024,1113.949951,1095.000000,1111.050049,1101.086792,4390338
2023-01-18,1118.949951,1125.849976,1114.099976,1115.150024,1105.150024,6905092
2023-01-19,1102.349976,1113.349976,1098.750000,1111.400024,1111.400024,2298287
2023-01-20,1111.050049,1121.400024,1107.050049,1107.800049,1107.800049,4747128
2023-01-23,1111.000000,1122.900024,1108.150024,1121.199951,1121.199951,1696834
2023-01-24,1125.900024,1143.699951,1121.199951,1137.849976,1137.849976,4861107
2023-01-25,1134.849976,1134.849976,1116.750000,1122.750000,1122.750000,2692236
2023-01-27,1122.750000,1134.300049,1105.000000,1115.599976,1115.599976,3864525
2023-01-30,1115.599976,1139.949951,1105.800049,1134.750000,1134.750000,3508427
2023-01-31,1136.000000,1137.699951,1113.000000,1122.199951,1122.199951,4582858
2023-02-01,1137.000000,1137.000000,1114.449951,1132.099976,1132.099976,2393911
2023-02-02,1137.800049,1155.500000,1135.000000,1149.599976,1149.599976,3048359
2023-02-03,1154.000000,1156.650024,1138.599976,1146.150024,1146.150024,1814055
2023-02-06,1135.199951,1149.849976,1128.000000,1145.699951,1145.699951,2070175
2023-02-07,1147.849976,1153.000000,1125.900024,1128.250000,1128.250000,1931191
